experiment,model,best_fold,val_r2_mean,val_r2_std,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std,test_r2,test_rmse,test_mae
optimizer,conv1d_v3_rmsprop_mse,1,0.946803,0.004864,0.033498,0.001768,0.024131,0.001299,0.954934,0.031001,0.022902
loss_optimizer,conv1d_v3_rmsprop_mse,4,0.950038,0.002828,0.032467,0.000629,0.023508,0.000743,0.954592,0.031119,0.022788
optimizer,conv1d_v3_adam_mse,1,0.949678,0.004671,0.032558,0.001222,0.02349,0.000625,0.953484,0.031496,0.023255
loss_optimizer,conv1d_v3_adam_mse,1,0.948571,0.002204,0.032956,0.000841,0.02364,0.000489,0.95286,0.031707,0.023486
optimizer,conv1d_v3_sgd_mse,1,0.950863,0.002815,0.032199,0.000687,0.023269,0.000512,0.952354,0.031876,0.023561
loss_optimizer,conv1d_v3_sgd_mse,1,0.950748,0.003632,0.032241,0.001373,0.023373,0.00102,0.952171,0.031937,0.023461
loss_optimizer,conv1d_v3_rmsprop_mae,1,0.943196,0.003858,0.034623,0.00129,0.023639,0.000801,0.944302,0.034465,0.023634
loss_optimizer,conv1d_v3_adam_mae,1,0.939982,0.002526,0.035601,0.000889,0.02409,0.00052,0.934766,0.037298,0.0258
loss_optimizer,conv1d_v3_sgd_mae,1,0.939909,0.001839,0.035625,0.000619,0.023964,0.000383,0.93406,0.0375,0.024983
different_models,conv1d,2,0.932681,0.005506,0.037704,0.001386,0.027598,0.000905,,,
conv1d_variants,conv1d,1,0.922923,0.007843,0.040316,0.002366,0.029083,0.001559,0.928322,0.039097,0.028836
conv1d_variants,conv1d_v2,5,0.799991,0.031161,0.064831,0.005451,0.048145,0.003991,0.826827,0.06077,0.044539
different_models,dense,4,0.820046,0.002133,0.058055,0.000435,0.042731,0.000244,,,
different_models,lstm,4,0.76853,0.025836,0.069834,0.003102,0.052217,0.002199,,,
